stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:GRET1,"Gare de l'Etat",,47.20397352,-1.56017356,,,0,StopArea:GRET,1
StopPoint:GRET2,"Gare de l'Etat",,47.20470120,-1.55996222,,,0,StopArea:GRET,1
StopPoint:GRI98,"Grimm",,47.21606058,-1.64658287,,,0,StopArea:GRIM,1
StopPoint:GRIM1,"Grimm",,47.21664063,-1.64543628,,,0,StopArea:GRIM,1
StopPoint:GRIM2,"Grimm",,47.21605602,-1.64671473,,,0,StopArea:GRIM,1
StopPoint:GRIM3,"Grimm",,47.21609703,-1.64552801,,,0,StopArea:GRIM,1
StopPoint:GRIM4,"Grimm",,47.21687826,-1.64637935,,,0,StopArea:GRIM,2
StopPoint:GRLI1,"Graslin",,47.21277904,-1.56345851,,,0,StopArea:GRLI,1
StopPoint:GRLI2,"Graslin",,47.21269365,-1.56332010,,,0,StopArea:GRLI,1
StopPoint:GRMA1,"Grimau",,47.22776755,-1.65446267,,,0,StopArea:GRMA,2
StopPoint:GRMA2,"Grimau",,47.22776299,-1.65459456,,,0,StopArea:GRMA,2
StopPoint:GRPO1,"Gripots",,47.19239539,-1.49181313,,,0,StopArea:GRPO,1
StopPoint:GRPO2,"Gripots",,47.19248524,-1.49181955,,,0,StopArea:GRPO,1
StopPoint:GRTE1,"Garotterie",,47.22499493,-1.60678975,,,0,StopArea:GRTE,1
StopPoint:GRTE2,"Garotterie",,47.22436152,-1.60687526,,,0,StopArea:GRTE,2
StopPoint:GSAN1,"George Sand",,47.16575765,-1.54497861,,,0,StopArea:GSAN,1
StopPoint:GSAN2,"George Sand",,47.16582084,-1.54577558,,,0,StopArea:GSAN,1
StopPoint:GSIN1,"Grassinière",,47.16582731,-1.50800609,,,0,StopArea:GSIN,2
StopPoint:GSIN2,"Grassinière",,47.16581851,-1.50826958,,,0,StopArea:GSIN,1
StopPoint:GSNO1,"Gare SNCF Nord",,47.21785809,-1.54218345,,,0,StopArea:GSNO,1
StopPoint:GSNO2,"Gare SNCF Nord",,47.21784173,-1.54261585,,,0,StopArea:GSNO,1
StopPoint:GSNO3,"Gare SNCF Nord",,47.21771391,-1.54266739,,,0,StopArea:GSNO,1
StopPoint:GSNO4,"Gare SNCF Nord",,47.21818533,-1.54204061,,,0,StopArea:GSNO,1
StopPoint:GSS98,"Gare SNCF Sud",,47.21538677,-1.54223429,,,0,StopArea:GSSU,1
StopPoint:GSSU1,"Gare SNCF Sud",,47.21589478,-1.54319643,,,0,StopArea:GSSU,1
StopPoint:GSSU2,"Gare SNCF Sud",,47.21580937,-1.54305805,,,0,StopArea:GSSU,1
StopPoint:GSSU3,"Gare SNCF Sud",,47.21520708,-1.54222126,,,0,StopArea:GSSU,2
StopPoint:GSSU4,"Gare SNCF Sud",,47.21538677,-1.54223429,,,0,StopArea:GSSU,1
StopPoint:GTLA1,"Garettes-Landreau",,47.27317170,-1.63072434,,,0,StopArea:GTLA,1
StopPoint:GTLA2,"Garettes-Landreau",,47.27309094,-1.63045367,,,0,StopArea:GTLA,1
StopPoint:GTVE1,"Gaston Veil",,47.20997839,-1.55572043,,,0,StopArea:GTVE,1
StopPoint:GTVE2,"Gaston Veil",,47.21016254,-1.55560165,,,0,StopArea:GTVE,1
StopPoint:GULO1,"Guilloterie",,47.17227999,-1.55720661,,,0,StopArea:GULO,1
StopPoint:GULO2,"Guilloterie",,47.17254507,-1.55735797,,,0,StopArea:GULO,1
StopPoint:GURO1,"Gustave Roch",,47.20364299,-1.55129487,,,0,StopArea:GURO,2
StopPoint:GURO2,"Gustave Roch",,47.20406998,-1.55198669,,,0,StopArea:GURO,2
StopPoint:GURO3,"Gustave Roch",,47.20362075,-1.55195405,,,0,StopArea:GURO,1
StopPoint:GVNO1,"Gare de Vertou Nord",,47.18698803,-1.47834737,,,0,StopArea:GVNO,1
StopPoint:GVNO2,"Gare de Vertou Nord",,47.18707351,-1.47848557,,,0,StopArea:GVNO,1
StopPoint:GVSU1,"Gare de Vertou Sud",,47.18569263,-1.47666976,,,0,StopArea:GVSU,2
StopPoint:GVSU2,"Gare de Vertou Sud",,47.18587233,-1.47668256,,,0,StopArea:GVSU,1
StopPoint:HAL99,"Haluchère-Batignolles",,47.24907778,-1.52325089,,,0,StopArea:HALU,1
StopPoint:HALA1,"Haluchère-Batignolles",,47.24893783,-1.52205037,,,0,StopArea:HALU,1
StopPoint:HALA2,"Haluchère-Batignolles",,47.24910869,-1.52232724,,,0,StopArea:HALU,1
StopPoint:HALA4,"Haluchère-Batignolles",,47.24945041,-1.52288098,,,0,StopArea:HALU,1
StopPoint:HALD1,"Haluchère-Batignolles",,47.24926778,-1.52306355,,,0,StopArea:HALU,1
StopPoint:HALE2,"Haluchère-Batignolles",,47.24871997,-1.52223570,,,0,StopArea:HALU,1
StopPoint:HALF1,"Haluchère-Batignolles",,47.24924422,-1.52365971,,,0,StopArea:HALU,1
StopPoint:HALF2,"Haluchère-Batignolles",,47.24916321,-1.52338932,,,0,StopArea:HALU,1
StopPoint:HALF3,"Haluchère-Batignolles",,47.24890692,-1.52297402,,,0,StopArea:HALU,1
StopPoint:HALG1,"Haluchère-Batignolles",,47.24830007,-1.52226888,,,0,StopArea:HALU,1
StopPoint:HARO1,"Harouys",,47.21705645,-1.56747172,,,0,StopArea:HARO,1
StopPoint:HARO2,"Harouys",,47.21671047,-1.56704989,,,0,StopArea:HARO,1
StopPoint:HAUB1,"Haubans",,47.21462644,-1.53001825,,,0,StopArea:HAUB,1
StopPoint:HAUB2,"Haubans",,47.21445117,-1.52987340,,,0,StopArea:HAUB,1
StopPoint:HAVE1,"Halvêque",,47.25744138,-1.52030810,,,0,StopArea:HAVE,1
StopPoint:HAVE2,"Halvêque",,47.25707795,-1.52059143,,,0,StopArea:HAVE,1
StopPoint:HAVE3,"Halvêque",,47.25940261,-1.51883695,,,0,StopArea:HAVE,2
StopPoint:HAVE4,"Halvêque",,47.25893132,-1.51946442,,,0,StopArea:HAVE,1
StopPoint:HBAN1,"Hangar à Bananes",,47.20038230,-1.57312719,,,0,StopArea:HBAN,1
StopPoint:HBDE1,"Halbarderie",,47.26828686,-1.43810608,,,0,StopArea:HBDE,1
StopPoint:HBDE2,"Halbarderie",,47.26857801,-1.43746510,,,0,StopArea:HBDE,1
StopPoint:HBLI1,"Hôpital Bellier",,47.22126133,-1.52427518,,,0,StopArea:HBLI,1
StopPoint:HBLI2,"Hôpital Bellier",,47.22105986,-1.52477753,,,0,StopArea:HBLI,1
StopPoint:HBRA1,"Herbray",,47.15021161,-1.47110759,,,0,StopArea:HBRA,2
StopPoint:HBRA2,"Herbray",,47.15048552,-1.47099504,,,0,StopArea:HBRA,2
StopPoint:HCOU1,"Hauts de Couëron",,47.24056965,-1.66970210,,,0,StopArea:HCOU,2
StopPoint:HDIE1,"Haudrière",,47.15465082,-1.46759427,,,0,StopArea:HDIE,2
StopPoint:HDIE2,"Haudrière",,47.15447112,-1.46758151,,,0,StopArea:HDIE,2
StopPoint:HERM1,"Hermeland",,47.23049132,-1.61724443,,,0,StopArea:HERM,1
StopPoint:HERM2,"Hermeland",,47.23067553,-1.61712581,,,0,StopArea:HERM,2
StopPoint:HERM3,"Hermeland",,47.22978615,-1.61679561,,,0,StopArea:HERM,1
StopPoint:HERM4,"Hermeland",,47.22996584,-1.61680890,,,0,StopArea:HERM,1
StopPoint:HFLE1,"Hameau Fleuri",,47.25105532,-1.59006054,,,0,StopArea:HFLE,1
StopPoint:HFLE2,"Hameau Fleuri",,47.25089809,-1.58938761,,,0,StopArea:HFLE,1
StopPoint:HFNA1,"Haute Forêt",,47.23349494,-1.55544842,,,0,StopArea:HFNA,1
StopPoint:HFNA2,"Haute Forêt",,47.23322540,-1.55542880,,,0,StopArea:HFNA,2
StopPoint:HFV99,"Haute Forêt",,47.16831427,-1.46565950,,,0,StopArea:HFVE,1
StopPoint:HFVE1,"Haute Forêt",,47.16831427,-1.46565950,,,0,StopArea:HFVE,1
StopPoint:HFVE2,"Haute Forêt",,47.16805341,-1.46537686,,,0,StopArea:HFVE,1
StopPoint:HILE1,"Haute Ile",,47.19395903,-1.55534827,,,0,StopArea:HILE,2
StopPoint:HILE2,"Haute Ile",,47.19473647,-1.55632975,,,0,StopArea:HILE,2
StopPoint:HIND1,"Haute Indre",,47.19540815,-1.64993520,,,0,StopArea:HIND,2
StopPoint:HIND2,"Haute Indre",,47.19441990,-1.64986159,,,0,StopArea:HIND,2
StopPoint:HIPP1,"Hippodrome",,47.24705518,-1.56728130,,,0,StopArea:HIPP,1
StopPoint:HIPP2,"Hippodrome",,47.24758084,-1.56771648,,,0,StopArea:HIPP,1
StopPoint:HLAN1,"Haute Lande",,47.15477271,-1.52345288,,,0,StopArea:HLAN,1
